,tweet_author,overall_polarity
1360797953745559552,StarSeekerDragon,Negative
1360680515804798981,Benlazar S.M Aminé,Negative
1360654935839375363,Walter M Chesnut,Negative
1360637504119054337,Pine Biotech,Negative
1360601708565565441,Thiago Carneiro,Negative
1360554571303694336,LymphomaAction,Negative
1360526116482650113,CLL Ireland,Positive
1360504052363239427,Lymphoma Papers,Negative
1360504025389686784,Lymphoma Papers,Negative
1360383954079993856,"Mazyar Shadman, MD MPH",Negative
1360335096406921218,MOASC,Negative
1360326007526481932,Adam Kittai,Negative
1360320973589909508,Michele Nadeem-Baker,Negative
1360287804035641345,DIA,Negative
1360281359202349058,Medivizor,Negative
1360273754677514248,Sussex Cancer Fund,Negative
1360254117466304515,Patient Power,Negative
1360230950903418887,Journal of the @NCCN,Negative
1360215879326261249,Anna Kabanova,Positive
1360189407609819137,AbbVie UK,Negative
1360187815431086082,Journal of Blood Disorders and Treatment,Negative
1360182258712289283,Paperbirds_Hematology,Negative
1360182257504325633,Paperbirds_Hematology,Negative
1360182256346619904,Paperbirds_Hematology,Negative
1360182255138729988,Paperbirds_Hematology,Negative
1360182254035636224,Paperbirds_Hematology,Negative
1360182252844449793,Paperbirds_Hematology,Negative
1360141390081056772,CLL Ireland,Negative
1360138185674743811,Michael Rynne,Negative
1360125743045378050,TYR Kinase papers,Negative
1360086666057142277,Leukemia,Negative
1360057104577478656,Nitin Jain,Negative
1360032065031335937,pro diet coke button,Negative
1359972067987365888,Andrew Schorr,Negative
1359955525367119873,myCME,Negative
1359912497998880772,Lynn Crismon,Positive
1359911839753240577,Patient Empowerment Network,Negative
1359887206849126400,HARMONY Alliance,Negative
1359876036889088005,Chris Frei,Negative
1359869179516628998,Medivizor,Negative
1359824630551351299,Lymphoma Papers,Negative
1359823343181041664,Brown Emmanuel,Negative
1359820244139732992,Paperbirds_Hematology,Negative
1359820242399100929,Paperbirds_Hematology,Negative
1359820239668531204,Paperbirds_Hematology,Negative
1359820236652908544,Paperbirds_Hematology,Negative
1359629043495239681,🦓🦓 Hömicidal Barcode 🦓🦓,Negative
1359574159265824772,VJHemOnc,Negative
1359567260596264962,Anthony Mato,Negative
1359557492603256842,BeiGene,Negative
1359547727647039488,Clinical Cancer Research,Negative
1359538464815935488,DCapdepon,Negative
1359534300304187392,Nagy Ákos,Negative
1359520763850678276,Patient Power,Negative
1359510104761131010,CheckRare,Negative
1359503294037647366,Clinical Care Solutions,Negative
1359503019491004416,Paperbirds_Hematology,Negative
1359503018438217731,Paperbirds_Hematology,Negative
1359457623402156033,Paperbirds_Hematology,Negative
1359455843310325764,ESMO - Eur. Oncology,Negative
1359418348099018752,BioSolveIT,Negative
1359348824393850881,Michele Nadeem-Baker,Negative
1359228752190967808,Habib Olapade,Negative
1359172463695855617,TYR Kinase papers,Positive
1359170332502933507,CLL Society Inc.,Negative
1359141239745052679,Francis Jenkins RE,Negative
1359129438693306373,Biosciences Laboratory IRST,Negative
1359096237358686209,Paperbirds_Hematology,Negative
1359096236083564544,Paperbirds_Hematology,Negative
1359096234720387073,Paperbirds_Hematology,Negative
1359096233629917187,Paperbirds_Hematology,Negative
1359096232455467008,Paperbirds_Hematology,Negative
1359096231264358408,Paperbirds_Hematology,Negative
1359096230001790977,Paperbirds_Hematology,Negative
1359056964693741573,"Ganjly, Reliable Cannabis News",Negative
1359052424883941379,LymphomaAction,Negative
1358927353393651719,Aptitude Health,Negative
1358901756244209668,Clinical Care Solutions,Negative
1358886331183726594,Journal of the @NCCN,Negative
1358881674025603073,Victor Lin,Negative
1358875661318914049,Lymphoma Hub,Negative
1358872788090683392,ASH Clinical News,Negative
1358861134418374657,VJHemOnc,Negative
1358860765118226435,Blood Journal,Negative
1358824697937412097,Patient Empowerment Network,Negative
1358809621453021186,alberto santos,Negative
1358795481627971584,Journal of the @NCCN,Negative
1358793610569920513,DaysInnBryanCS,Negative
1358788285506727936,UK Chronic Lymphocytic Leukaemia (CLL) Forum,Negative
1358785325607383040,CheckRare,Negative
1358779116430966787,Medscape Oncology,Negative
1358732467189002240,StressMarq,Negative
1358692137748037634,Lymphoma Papers,Negative
1358691652509044736,European Hematology Association,Negative
1358678559217303553,PharmaFactz,Negative
1358669637580333056,Leukemia,Positive
1358593399108997120,EurekaMag,Negative
1358583074523672577,Medscape Education,Negative
1358581561902288900,がんプラス,Negative
1358529731746955264,Hematopoiesis,Negative
1358527724709634055,AACR Foundation,Negative
1358409326646366208,minnlab_litbot,Negative
1358408868842323974,Dr. Liz Samander,Negative
1358401763036987395,CLL-seq,Negative
1358385026862350336,CLL Society Inc.,Negative
1358371323022430208,Paperbirds_Hematology,Negative
1358371321772580864,Paperbirds_Hematology,Negative
1358371320614973442,Paperbirds_Hematology,Negative
1358234054882168836,CLL Society Inc.,Negative
1358124018998542337,FindACurePanel,Negative
1358105961433493504,Paperbirds_Hematology,Negative
1358105960254853121,Paperbirds_Hematology,Negative
1358105959088803841,Paperbirds_Hematology,Negative
1358105957864075264,Paperbirds_Hematology,Negative
1358105956668768256,Paperbirds_Hematology,Negative
1358105955435565061,Paperbirds_Hematology,Negative
1358064847900995602,Psychiatry Intel,Negative
1358053309823729666,Aurileus FC,Negative
1358029206903545857,"Dr T. Comeau , MD",Negative
1358017855598510080,LymphomaAction,Negative
1358008069494571013,Hammad,Negative
1357947531125092352,Journal of Blood Disorders and Treatment,Negative
1357881598146826241,"Mazyar Shadman, MD MPH",Negative
1357833067315011585,Psychiatry Intel,Negative
1357759402057564161,BioAscend,Positive
1357757167512657921,"Chaitra Ujjani, MD",Positive
1357749573796712449,SeattleCancerCareAlliance,Negative
1357748935767429122,"Chaitra Ujjani, MD",Negative
1357698163818307588,CheckRare,Negative
1357695296592105474,Ish,Negative
1357683611022069760,Riddle & Brantley,Negative
1357670067178074114,ion papers,Negative
1357645669884784641,Paperbirds_Hematology,Negative
1357645668718845956,Paperbirds_Hematology,Negative
1357645667552792581,Paperbirds_Hematology,Negative
1357645666038607872,Paperbirds_Hematology,Negative
1357638794409873409,Industry Today,Negative
1357636818167037952,Psychiatry Intel,Negative
1357632310284345344,Medscape Nurses,Negative
1357532342869323776,Larissa Nelson,Negative
1357471432180191232,OncLive.com,Negative
1357428731867000833,Patient Empowerment Network,Negative
1357403549764784128,RedMedEd,Negative
1357393505123983363,designated dilf fucker,Negative
1357393299082985473,PharmaFactz,Negative
1357387193812209664,Lymfklierkanker VV vzw,Negative
1357383439251562498,Patient Empowerment Network,Negative
1357376982816849923,Sci-dip,Negative
1357375874778169345,Deb Amlen,Negative
1357373508645511168,WEGO Health,Negative
1357367195689357312,Oncology,Negative
1357366546927128576,Riddle & Brantley,Negative
1357361026585477120,Anna Stewart ☘️☘️,Negative
1357358341509574664,CLL Society Inc.,Negative
1357355200298823689,LyLe Foreningen,Negative
1357351225507864576,CLL Society Inc.,Negative
1357339411621400578,LymphomaAction,Negative
1357337081354149888,Blood Cancer UK,Negative
1357334743226851329,Leukaemia Care,Negative
1357313459822751744,OncLive SOSS,Negative
1357302636211548163,Nick,Negative
1357298021709578240,HARMONY Alliance,Negative
1357288425494315008,CLL Advocates Network,Negative
1357283650807635969,Paperbirds_Hematology,Negative
1357283649641586690,Paperbirds_Hematology,Negative
1357267680064069632,CLL Society Inc.,Negative
1357255312714129409,CLL Ireland,Negative
1357251983875465220,Michael Rynne,Negative
1357243470755282947,Michael Rynne,Negative
1357237538801541122,CLLSA,Negative
1357236707050082304,CLL Advocates Network,Negative
1357178839638548481,Ingentium Melanoma,Negative
1357122261313064960,"Amber Koehler, PA-C",Negative
1357100020261146625,Michael Bayerl MD,Positive
1357089988022833153,Patient Power,Negative
1357079849257549834,Riddle & Brantley,Negative
1357072321937354752,Aurora Cancer Care,Negative
1357011622527655943,PeerView,Negative
1357005852746657794,Patient Empowerment Network,Positive
1357003485036900352,CellworksLife,Negative
1356993602849820675,CLLSA,Negative
1356977595246592000,Cure Cancer Now,Negative
1356925503844851714,Lymphoma Papers,Negative
1356923305257656320,Ariakas Enoreth,Negative
1356921011661201415,Paperbirds_Hematology,Negative
1356921010407104521,Paperbirds_Hematology,Negative
1356921009283108864,Paperbirds_Hematology,Negative
1356920909022584833,Anthony Mato,Negative
1356909293140926464,Medscape Education,Negative
1356781432417484802,ClinOwl Haematology,Negative
1356751240563200011,ClinOwl Haematology,Positive
1356726589074010112,Journal of the @NCCN,Negative
1356724250799988737,CLL Advocates Network,Negative
1356709344746864643,Benlazar S.M Aminé,Negative
1356681614093344770,BioAscend,Negative
1356675513440481284,Patient Empowerment Network,Negative
1356660800933548033,Early Years at LSC (#FE #VocEd #EYFS) 🙋‍♀️,Negative
1356660164493983744,Patient Empowerment Network,Negative
1356649901933928448,CURE Magazine,Negative
1356647221257764867,Laila Kjærbæk,Negative
1356608561426485250,NHLBI Bethesda Labs,Negative
1356606875140300803,UK Chronic Lymphocytic Leukaemia (CLL) Forum,Negative
1356576108129435649,LymphomaAction,Negative
1356574475681026049,Paperbirds_Hematology,Negative
1356574474238185473,Paperbirds_Hematology,Negative
1356574472334045185,Paperbirds_Hematology,Negative
1356543163477950466,CheckRare,Negative
1356539906319933440,TU München,Negative
1356503130788175873,Paperbirds_Hematology,Negative
1356503128825163778,Paperbirds_Hematology,Negative
1356408747778830336,Medscape Education,Negative
1356378956715282432,Oncology Board,Negative
1356295298071605250,TrialBulletin,Negative
1356291019390803968,Raymond DuBois,Negative
1356281672011051009,Patient Empowerment Network,Negative
1356262290362933251,Patient Power,Negative
1356259985106333696,AstraZeneca,Negative
1356227098860539904,ACIR.org,Negative
1356226284347600896,OncLive SOSS,Negative
1356211706154766343,Paperbirds_Hematology,Negative
1356164065186500608,CLLSA,Positive
1356160692840247296,Jerry Lee,Negative
1356138995730833408,BibliotecaHUVH. ICS,Positive
1356121704783724545,Bio Cancer Care,Negative
1356015483036774404,Ahmad Alharthi,Negative
1356011063796506626,Pumpy_Fantasy,Negative
1355807875197763592,Orchard Primary Academy Nursery,Positive
1355799246067421185,VJHemOnc,Negative
1355768661726916608,Kristine Olson,Negative
1355712457118019588,"Ganjly, Reliable Cannabis News",Negative
1355670203774939150,Medivizor,Negative
1355543574599888899,OncLive.com,Negative
1355509959232901124,eQTLpapers,Negative
1355495485528702977,robo_gwas,Negative
1355485239691378694,Jane Fleming,Negative
1355479126946287619,Medivizor,Negative
1355472468656283650,Paperbirds_Hematology,Negative
1355472467410579457,Paperbirds_Hematology,Negative
1355472465883918338,Paperbirds_Hematology,Negative
1355472464705318915,Paperbirds_Hematology,Negative
1355472463501553666,Paperbirds_Hematology,Negative
1355472461953789953,Paperbirds_Hematology,Negative
1355352565932847106,Medivizor,Negative
1355301467473719298,elizabeth,Negative
1355293230246420480,"Mazyar Shadman, MD MPH",Negative
1355283583007666178,Patient Power,Positive
1355276724083302400,SeattleCancerCareAlliance,Negative
1355272659634937858,Chase_Rhi,Negative
1355224900634628097,"Raul Cordoba, MD, PhD",Negative
1355187760093655040,VJHemOnc,Negative
1355176537843183616,WCM Lymphoma,Negative
1355158881660493835,Nicolas Martinez 🇨🇴🇨🇴,Positive
1355146836709830656,Kevin Paul Ferraris,Positive
1355143766043205638,Toby Eyre,Positive
1355119130077106182,Paperbirds_Hematology,Negative
1355109960309370883,Paperbirds_Hematology,Negative
1355109959151677440,Paperbirds_Hematology,Negative
1355109957931204609,Paperbirds_Hematology,Negative
1355109956274458626,Paperbirds_Hematology,Negative
1355109953552470016,Paperbirds_Hematology,Negative
1355074483602788352,VJHemOnc,Negative
1355073207003467776,HemaSphere_EHA,Negative
1355063364117028866,European Hematology Association,Negative
1355015858888708098,"Mazyar Shadman, MD MPH",Negative
1354988518670360577,Oncology,Negative
1354949116414091267,Biotech Jim,Negative
1354887871430340608,Nicolas Martinez 🇨🇴🇨🇴,Positive
1354878602295308290,Breaking Data,Negative
1354818106640670733,RhapsodyMusicLessons,Negative
1354810211635130382,BioAscend,Negative
1354791339351826436,RedMedEd,Negative
1354779070303789056,Medivizor,Negative
1354747437403889671,Paperbirds_Hematology,Negative
1354747436242112515,Paperbirds_Hematology,Negative
1354747433889058820,Paperbirds_Hematology,Negative
1354711413185523712,Toby Eyre,Negative
1354621626827071492,Michele Nadeem-Baker,Negative
1354566628818620421,Quaglee Dragontacos,Negative
1354565095498674177,PeerView,Negative
1354563641266364416,Michele Nadeem-Baker,Negative
1354562568501616642,Michele Nadeem-Baker,Negative
1354481055965863938,Patient Empowerment Network,Negative
1354436060160417800,Ashbridge Nursery at Maxy Farm,Negative
1354434116679294976,Paul Wright,Negative
1354433905168887812,Lynne Mac Lean,Negative
1354402720694886403,Medivizor,Negative
1354383931471130626,Paperbirds_Hematology,Negative
1354383927079653379,Paperbirds_Hematology,Negative
1354370355297705996,Medscape Education,Negative
1354361978920325120,Orchard Primary Academy Nursery,Negative
1354203746377605127,WCM Lymphoma,Negative
1354169772078997505,"CancerNetwork®, Home of the Journal ONCOLOGY®",Negative
1354141380864593923,O'Neal Comprehensive Cancer Center at UAB,Negative
1354129515275055106,Ana Bacelar,Negative
1354128899404394496,"chadi nabhan MD, MBA, FACP",Negative
1354109856500867072,Journal of the @NCCN,Negative
1354108863587495936,ACCC,Negative
1354099054175805448,Patient Power,Negative
1354084791566671874,Toby Eyre,Negative
1354066565537226752,RedMedEd,Negative
1354059025575505920,"Ganjly, Reliable Cannabis News",Negative
1354059013638533122,Dana-FarberYAProgram,Negative
1354058418047356934,ClinicalTrialsData,Negative
1354054340726689793,Medivizor,Negative
1354021536328347649,Paperbirds_Hematology,Negative
1354021535191711744,Paperbirds_Hematology,Negative
1354021533979533312,Paperbirds_Hematology,Negative
1354021531383336961,Paperbirds_Hematology,Negative
1354002167871451136,Hematology Cancer Consortium,Negative
1353900616574246913,OncLive SOSS,Negative
1353869487641042944,"Mazyar Shadman, MD MPH",Negative
1353721685611061253,Lisa Palacios,Negative
1353696163195547648,がんナビ通信,Negative
1353695992814596096,がんナビ通信,Negative
1353498591336267776,AACR Foundation,Negative
1353462707282980867,Zusia:Dr Jackie Volk,Negative
1353400201722081283,pathdoc3,Negative
1353370735859830790,ASCO Publications,Negative
1353356885328617479,ASH Clinical News,Negative
1353297256372269056,Paperbirds_Hematology,Negative
1353297253473996801,Paperbirds_Hematology,Negative
1353137968706449408,"Ganjly, Reliable Cannabis News",Negative
1353039965941338114,myCME,Negative
1353004854898266112,Medivizor,Negative
1353002047835168769,Coping with Cancer,Negative
1352989467842408458,KU Cancer Center,Negative
1352975340604256256,医学英単語bot,Negative
1352934367799042048,Paperbirds_Hematology,Negative
1352743922989109248,donnashort,Negative
1352707612110778369,RedMedEd,Negative
1352690413992366080,Lisa Palacios,Negative
1352676172052787209,CURE Magazine,Negative
1352657468111917057,"Amber Koehler, PA-C",Negative
1352650255490306050,ACCC,Negative
1352645780830564353,Early Years at LSC (#FE #VocEd #EYFS) 🙋‍♀️,Negative
1352642472300703745,The EY Tagteam,Negative
1352636036766167041,CLLSA,Negative
1352620475596165120,Jordan Gauthier,Negative
1352600502224252932,"Dr T. Comeau , MD",Negative
1352594752097681411,MPI for Molecular Genetics 🧬,Positive
1352561438221623296,HAM,Negative
1352490306772545537,DRG Epidemiology,Negative
1352426848311857152,donnashort,Negative
1352408573347676160,donnashort,Negative
1352372069586132993,Research To Practice,Negative
1352329495903145987,Fred Spencer,Negative
1352326391010877443,VJHemOnc,Negative
1352301155821506566,OncLive.com,Negative
1352283030065475587,Memej,Negative
1352210217962881025,Paperbirds_Hematology,Negative
1352210216759119872,Paperbirds_Hematology,Negative
1352210215391772674,Paperbirds_Hematology,Negative
1352210214192201729,Paperbirds_Hematology,Negative
1352210212942274562,Paperbirds_Hematology,Negative
1352180557254455302,Samuel Olaiya Afolaranmi,Positive
1352128687928295424,DRG Epidemiology,Negative
1352118885303123968,Targeted Oncology,Negative
1352115545928310787,Michele Nadeem-Baker,Negative
1352077595190448130,"chadi nabhan MD, MBA, FACP",Negative
1352004072942006283,Dr Alan G Ramsay,Negative
1351997687017730050,ACCC,Negative
1351958454722822144,Medivizor,Negative
1351951822173462531,Sigrid Skånland,Negative
1351933527860932608,Blood Cancer Discovery,Negative
1351922566122926081,Patient Empowerment Network,Negative
1351913653268787207,Blood Journal,Negative
1351869865120808960,Paperbirds_Hematology,Negative
1351869863870955524,Paperbirds_Hematology,Negative
1351869862423871488,Paperbirds_Hematology,Negative
1351811974800109572,Paperbirds_Hematology,Negative
1351811973348945921,Paperbirds_Hematology,Negative
1351811971964755968,Paperbirds_Hematology,Negative
1351811970836516866,Paperbirds_Hematology,Negative
1351811969234321410,Paperbirds_Hematology,Negative
1351811967938306051,Paperbirds_Hematology,Negative
1351802911316193280,EuropeanHospital_D,Negative
1351800196951400448,The Indian Pharma,Negative
1351755629854130176,DRG Epidemiology,Negative
1351716327535173637,donnashort,Negative
1351642090690777089,CAR-TCR,Negative
1351628106516344832,APSHO,Negative
1351613154065850370,Patient Empowerment Network,Negative
1351580675871289344,Orchard Primary Academy Nursery,Positive
1351560505140383748,PeerView,Negative
1351556320676225025,Patient Power,Negative
1351537539950272513,CheckRare,Negative
1351503072342781955,Influenza News,Negative
1351498499561574400,Samuel Olaiya Afolaranmi,Positive
1351469720860581891,CheckRare,Negative
1351397083899711489,DRG Epidemiology,Negative
1351303611624648705,OncLive SOSS,Negative
1351288495571165189,Patient Worthy,Negative
1351241204818718724,Samuel Olaiya Afolaranmi,Positive
1351237316157853702,Orchard Primary Academy Nursery,Negative
1351233907711213568,Patient Empowerment Network,Negative
1351228132561448976,myCME,Negative
1351222330891104261,Patient Empowerment Network,Negative
1351212153127186432,StressMarq,Negative
1351199662582194176,Breaking Data,Negative
1351183564713426945,Medscape Education,Negative
1351175064042008584,CellworksLife,Negative
1351171559025729537,ClinicalTrialsData,Negative
1351135987418722306,Kimmo Porkka,Positive
1351068556796968960,Symag by BNP Paribas PF,Negative
1350986296009883651,OncLive.com,Negative
1350923622152630272,CLL Society Inc.,Negative
1350923371916251138,CLL Society Inc.,Negative
1350809712967741441,γδ T cell Forum,Negative
1350774000771731458,Cancer epigenetics papers 📚,Negative
1350761296094875650,Paperbirds_Hematology,Negative
1350761294253576199,Paperbirds_Hematology,Negative
1350761292894617605,Paperbirds_Hematology,Negative
1350730871989555200,R Marcos-Gragera 🎗,Negative
1350650711546220546,Anna Deveau,Negative
1350648432101380100,Anna Deveau,Negative
1350608939172438018,OncLive SOSS,Negative
1350570745542418440,Dr Vicky Forster,Negative
1350488417050750979,PharmacyPhunQuiz,Negative
1350470108095930368,Seema Ali Bhat,Negative
1350412543647494144,OncLive.com,Negative
1350403682962202624,VJHemOnc,Negative
1350398160183574528,Paperbirds_Hematology,Negative
1350398158870745088,Paperbirds_Hematology,Negative
1350398157587271682,Paperbirds_Hematology,Negative
1350398156094148616,Paperbirds_Hematology,Negative
1350398154600902658,Paperbirds_Hematology,Negative
1350397431196889089,OncLive.com,Negative
1350352743014166529,INDoximity 🇮🇳,Negative
1350352698772660224,INDoximity 🇮🇳,Negative
1350270893977694210,ac,Negative
1350238590324920325,Cure Cancer Now,Negative
1350218878157164545,"Chaitra Ujjani, MD",Positive
1350126881920733184,Patient Empowerment Network,Negative
1350125970892726273,Genomics Education,Negative
1350125602234359810,Lymphoma Hub,Negative
1350120096421863428,"LAVA Therapeutics, B.V.",Negative
1350109407833690112,Blood Advances,Negative
1350036894470467586,Paperbirds_Hematology,Negative
1350036811511283712,Paperbirds_Hematology,Negative
1350033649903788032,Asdrubal Pérez,Negative
1350020647443963906,LYMPHOMA & MYELOMA CONNECT,Negative
1349995359871893504,Benlazar S.M Aminé,Negative
1349944523569451008,Targeted Oncology,Negative
1349944523217117186,OncLive SOSS,Negative
1349944043975929857,Shouting at people in my underpants,Negative
1349908885960847366,jorge  gonzalez,Negative
1349907603313348609,TessEunkyoung Yoo,Negative
1349862720691073024,"Mazyar Shadman, MD MPH",Negative
1349835397354946565,"Raul Cordoba, MD, PhD",Negative
1349830196820660224,Kate Cwynarski,Negative
1349800460551659520,MDBriefCase,Negative
1349796933414608898,Patient Power,Negative
1349783083705397252,NotTheMacAnon,Negative
1349768001369862145,Patient Empowerment Network,Negative
1349763298707841028,Lymphoma Hub,Negative
1349751862866665479,APWA,Negative
1349741361839398914,CGB3 Beck,Negative
1349715701033021441,Walz Lab,Negative
1349695333329199105,CellworksLife,Negative
1349688714801401859,Medscape Education,Negative
1349682120663453696,TAP Clinical Trial Network,Negative
1349672881693749249,Paperbirds_Hematology,Negative
1349672880070488066,Paperbirds_Hematology,Negative
1349672878296350723,Paperbirds_Hematology,Negative
1349672876576702470,Paperbirds_Hematology,Negative
1349672874898984969,Paperbirds_Hematology,Negative
1349672873175130114,Paperbirds_Hematology,Negative
1349638886671216640,JOURNAL ONKOLOGIE,Negative
1349633034178473985,Rafael Ruiloba,Negative
1349551957950738432,Targeted Oncology,Negative
1349450531530436608,razo,Negative
1349446206620119040,Patient Empowerment Network,Negative
1349431021096333313,NatureRevClinOncol,Negative
1349421169104007170,Alicia Bell IFBB Pro,Negative
1349408435079680001,Patient Empowerment Network,Negative
1349407133377376256,VJHemOnc,Negative
1349402873793310720,Pine Biotech,Negative
1349386349263073280,AstraZenecaUS,Negative
1349378177735524354,hematologist,Negative
1349376923194056704,Patient Power,Negative
1349363216648957953,CheckRare,Negative
1349352196412907521,Debarati,Negative
1349350624677097474,Oncology,Negative
1349341039014805506,Lisa Palacios,Negative
1349315361800388608,Lymphoma Papers,Negative
1349310750905442304,Paperbirds_Hematology,Negative
1349310749231828999,Paperbirds_Hematology,Negative
1349310747356975105,Paperbirds_Hematology,Negative
1349310745389854721,Paperbirds_Hematology,Negative
1349310743431114754,Paperbirds_Hematology,Negative
1349310741040427009,Paperbirds_Hematology,Negative
1349286327716634624,Oxford Centre for Haematology,Negative
1349277461297639424,Current Oncology,Negative
1349219699700207616,OncLive SOSS,Negative
1349218384798355459,Aloysius Pendergast,Negative
1349154003700084736,Cure Cancer Now,Negative
1349140164124102656,UW Medicine Newsroom,Negative
1349129294560317447,Targeted Oncology,Negative
1349124565784518656,OncLive.com,Negative
1349089022929494019,Patient Empowerment Network,Negative
1349086944488271873,Anthony Mato,Negative
1349081158668193793,Sigrid Skånland,Negative
1349071139352567808,"Raul Cordoba, MD, PhD",Negative
1349054296218857482,Patient Empowerment Network,Negative
1349034962964672513,Oncology Publishers Feed,Negative
1349030185841131521,Patient Empowerment Network,Negative
1349029397488144385,"Tom Curley, MD",Negative
1349023741930561536,PeerView,Negative
1349023067968860164,HemaSphere_EHA,Negative
1349020839195324418,VJHemOnc,Negative
1349019341803630592,"Bionano Genomics, Inc.",Negative
1349001554519580677,Fevzi Altuntaş,Negative
1348995840002678786,European Hematology Association,Negative
1348994094496944128,Lisa Palacios,Negative
1348978473507954689,VJHemOnc,Negative
1348963244766064647,ESMO - Eur. Oncology,Negative
1348948981288636418,Paperbirds_Hematology,Negative
1348948978948165638,Paperbirds_Hematology,Negative
1348948977438191617,Paperbirds_Hematology,Negative
1348948975844356097,Paperbirds_Hematology,Negative
1348946461472526338,Technology Networks,Negative
1348929454098288640,Daniel Bachurski,Positive
1348905302691700736,Haematologica,Negative
1348828687458734080,"Mazyar Shadman, MD MPH",Positive
1348794913316425728,Leukaemia Foundation,Negative
1348741468761042945,jorge  gonzalez,Positive
1348720500273410049,"Cancer Research, Statistics and Treatment",Negative
1348693701615349763,Oncology CE,Negative
1348685801190776834,Orchard Primary Academy Nursery,Negative
1348640504854941704,Lisa Palacios,Positive
1348639935180517381,TrialBulletin,Negative
1348638451156082691,CheckRare,Negative
1348631150038814726,AstraZenecaUS,Negative
1348628346184327168,CureHuntr,Negative
1348606593374375937,Paperbirds_Hematology,Negative
1348586239058825219,Paperbirds_Hematology,Negative
1348364368501764104,Trip Database,Negative
1348350550010695687,Jerry Clay English Hub,Negative
1348340107150028804,VJHemOnc,Negative
1348337569289940992,NCI Cancer Stats,Negative
1348313953286434816,OncLive SOSS,Negative
1348283560969572354,Lymphoma Hub,Negative
1348224202143277058,Paperbirds_Hematology,Negative
1348224200880787459,Paperbirds_Hematology,Negative
1348224199337279488,Paperbirds_Hematology,Negative
1348092774843781121,"Mazyar Shadman, MD MPH",Negative
1347978963902201862,Blood Journal,Negative
1347977720341397504,VJHemOnc,Negative
1347966699803471878,Vindico Medical Education,Negative
1347925010011336707,CLL Advocates Network,Negative
1347865803643891712,Lymphoma Papers,Negative
1347862192373157888,Paperbirds_Hematology,Negative
1347862190745735168,Paperbirds_Hematology,Negative
1347842644798484480,Jean-Philippe Calmus 🇫🇷🇱🇺,Negative
1347638713610887168,ImmuneGCPapers,Negative
1347638211410096129,Patient Power,Negative
1347629817865379842,bespinet_HMar,Negative
1347577689318809600,NMDP/Be The Match Advocacy,Negative
1347551265300107268,CheckRare,Negative
1347503450704261121,Lymphoma Papers,Negative
1347503447168454657,Lymphoma Papers,Negative
1347499437325574147,Paperbirds_Hematology,Negative
1347499436176412679,Paperbirds_Hematology,Negative
1347499434951671810,Paperbirds_Hematology,Negative
1347499433810804738,Paperbirds_Hematology,Negative
1347499432661577731,Paperbirds_Hematology,Negative
1347499431134838784,Paperbirds_Hematology,Negative
1347483440011243520,Sussex Haematology,Negative
1347480158123536384,Ingo Ringshausen,Negative
1347475516295680001,Michie Lab,Negative
1347461086749085697,Chris Pepper,Positive
1347356148010283008,CL+POSTUP,Negative
1347347538089816074,がんプラス,Negative
1347337299080720386,American Journal of Forensic Medicine & Pathology,Negative
1347242357792665600,Patient Empowerment Network,Negative
1347229862659022848,iwCLL,Negative
1347227769244180481,PAN Foundation,Negative
1347227005683724288,Patient Empowerment Network,Negative
1347215172067356672,ChampionsOncology,Negative
1347211413987667974,Patient Empowerment Network,Negative
1347205356661993472,Patient Power,Negative
1347197813654917121,Paperbirds_Hematology,Negative
1347197812367216640,Paperbirds_Hematology,Negative
1347197811071229955,Paperbirds_Hematology,Negative
1347183750300508160,"Mike Thompson, MD, PhD, FASCO",Negative
1347131739626496001,CLL Ireland,Negative
1347121501858897921,CLL Advocates Network,Negative
1347114446590775296,Francesc Bosch,Negative
1347101941617356801,VJHemOnc,Negative
1346973754442674178,Melanoma MRV,Negative
1346901870388903937,Elsevier Biotech,Negative
1346876685430317058,AJMC,Negative
1346875082765905920,StressMarq,Negative
1346873907169652739,Blood Cancer Discovery,Negative
1346863655875444737,Patient Empowerment Network,Negative
1346850266931474438,Winship Cancer Institute of Emory University,Negative
1346789871478861825,National Cancer Institute,Negative
1346730731943432192,CLLSA,Negative
1346667835561553920,OncLive.com,Negative
1346568658605252609,Patient Power,Negative
1346553546146250760,BioAscend,Negative
1346552669846978561,Shouting at people in my underpants,Negative
1346552071655403520,OncLive.com,Negative
1346505541527416833,Aptitude Health,Negative
1346501088359407623,Blood Journal,Negative
1346490652268363778,Patient Empowerment Network,Negative
1346486853025853443,PeerView,Negative
1346486831903363080,HemaSphere_EHA,Negative
1346464102034636800,CheckRare,Negative
1346439144252309504,LyLe Foreningen,Negative
1346426479660290048,Paperbirds_Hematology,Negative
1346411516942114816,Paperbirds_Hematology,Negative
1346411515839086592,Paperbirds_Hematology,Negative
1346411514622668801,Paperbirds_Hematology,Negative
1346411512756244480,Paperbirds_Hematology,Negative
1346396232734924800,CheckRare,Negative
1346377163377963008,VJHemOnc,Negative
1346369172800868352,MarketStudyReport,Negative
1346350648040722432,Shouting at people in my underpants,Negative
1346297853354725378,Depp Gaikwad,Negative
1346222429622988800,idw Nachrichten,Negative
1346201992750903296,MDEdge,Negative
1346201991828168713,MDedge Hematology & Oncology,Negative
1346162489550102531,Patient Empowerment Network,Negative
1346159849139286016,Jen Silverman,Negative
1346154581856841732,OncLive.com,Negative
1346109302034067459,Bion at bitpharma.com,Negative
